fold,target,dataset,model,acc,pre,rec,f1,auc
2,PETandDX,AD_PPI_shuffled12_missense,GNN GraphGym,0.5104,0.3871,0.6316,0.48,0.6579
2,PETandDX,AD_PPI_shuffled13_missense,GNN GraphGym,0.6146,0.6925,0.6316,0.6598,0.6059
2,PETandDX,AD_PPI_shuffled14_missense,GNN GraphGym,0.5938,0.6875,0.5789,0.6286,0.6241
2,PETandDX,AD_PPI_shuffled15_missense,GNN GraphGym,0.6354,0.6967,0.6842,0.6896,0.6019
2,PETandDX,AD_PPI_shuffled16_missense,GNN GraphGym,0.625,0.6842,0.6842,0.6842,0.6188
2,PETandDX,AD_PPI_shuffled17_missense,GNN GraphGym,0.6458,0.6947,0.7193,0.7067,0.6282
2,PETandDX,AD_PPI_shuffled18_missense,GNN GraphGym,0.5833,0.6688,0.5614,0.6002,0.608
2,PETandDX,AD_PPI_shuffled19_missense,GNN GraphGym,0.6667,0.7115,0.7369,0.7222,0.6781
2,PETandDX,AD_PPI_shuffled20_missense,GNN GraphGym,0.625,0.7006,0.6491,0.6718,0.6545
2,PETandDX,AD_PPI_shuffled21_missense,GNN GraphGym,0.625,0.7059,0.6316,0.6667,0.6228
2,PETandDX,AD_PPI_shuffled22_missense,GNN GraphGym,0.625,0.7145,0.614,0.6603,0.7051
2,PETandDX,AD_PPI_shuffled23_missense,GNN GraphGym,0.6458,0.7021,0.7017,0.7016,0.6552
2,PETandDX,AD_PPI_shuffled24_missense,GNN GraphGym,0.6042,0.7028,0.5789,0.6348,0.6491
2,PETandDX,AD_PPI_shuffled25_missense,GNN GraphGym,0.5938,0.6875,0.5789,0.6286,0.6417
2,PETandDX,AD_PPI_shuffled26_missense,GNN GraphGym,0.5625,0.6938,0.5965,0.569,0.6727
2,PETandDX,AD_PPI_shuffled27_missense,GNN GraphGym,0.5104,0.3871,0.6316,0.48,0.6545
2,PETandDX,AD_PPI_shuffled28_missense,GNN GraphGym,0.6458,0.7021,0.7017,0.7016,0.6646
2,PETandDX,AD_PPI_shuffled29_missense,GNN GraphGym,0.5312,0.3978,0.6491,0.4933,0.6788
2,PETandDX,AD_PPI_shuffled30_missense,GNN GraphGym,0.6042,0.7028,0.5789,0.6348,0.6424
2,PETandDX,AD_PPI_shuffled31_missense,GNN GraphGym,0.5313,0.6137,0.6842,0.549,0.6228
2,PETandDX,AD_PPI_shuffled32_missense,GNN GraphGym,0.4792,0.5313,0.3509,0.2817,0.6768
2,PETandDX,AD_PPI_shuffled33_missense,GNN GraphGym,0.5521,0.4313,0.5789,0.4877,0.6667
