dataset,acc,pre,rec,f1,auc,fold
APP_CASP3,0.6849,0.7812,0.6098,0.6849,0.7668,4
APP_CASP3,0.7625,0.7673,0.8293,0.797,0.7818,5
APP_CASP3,0.6164,0.7241,0.5122,0.6,0.6584,6
APP_CASP3,0.5833,0.6341,0.6341,0.6341,0.6113,7
APP_CASP3,0.6389,0.7143,0.6098,0.6579,0.657,8
APP_CASP3,0.5694,0.6667,0.4878,0.5634,0.5998,9
APP_CASP3,0.6528,0.6739,0.7561,0.7126,0.6586,10
APP_CHRNA7,0.6255,0.6581,0.7561,0.6897,0.7112,1
APP_CHRNA7,0.5525,0.5593,0.9593,0.7063,0.6242,2
APP_CHRNA7,0.5662,0.6372,0.5285,0.5775,0.5542,3
APP_CHRNA7,0.6986,0.8065,0.6098,0.6944,0.7806,4
APP_CHRNA7,0.7717,0.7708,0.8456,0.8062,0.8073,5
APP_CHRNA7,0.6164,0.7241,0.5122,0.6,0.6995,6
APP_CHRNA7,0.5833,0.6341,0.6341,0.6341,0.62,7
APP_CHRNA7,0.6574,0.7448,0.6098,0.6697,0.6432,8
APP_CHRNA7,0.5694,0.6667,0.4878,0.5634,0.6224,9
APP_CHRNA7,0.6435,0.6645,0.7561,0.7073,0.6513,10
APP_CLU,0.6255,0.6609,0.7723,0.6954,0.7174,1
APP_CLU,0.6347,0.6808,0.6585,0.6695,0.6313,2
APP_CLU,0.5616,0.6364,0.5122,0.5676,0.5692,3
APP_CLU,0.6849,0.7812,0.6098,0.6849,0.7419,4
APP_CLU,0.7671,0.7774,0.8212,0.7983,0.7829,5
APP_CLU,0.6027,0.6725,0.6748,0.6419,0.6452,6
APP_CLU,0.5833,0.6341,0.6341,0.6341,0.6061,7
APP_CLU,0.6574,0.7487,0.6017,0.6668,0.6755,8
APP_CLU,0.5694,0.6667,0.4878,0.5634,0.5931,9
APP_CLU,0.6528,0.6739,0.7561,0.7126,0.6454,10
APP_GSK3B,0.6575,0.7105,0.6585,0.6835,0.6944,1
APP_GSK3B,0.6438,0.6892,0.6666,0.6776,0.635,2
APP_GSK3B,0.5479,0.5803,0.813,0.6572,0.5795,3
APP_GSK3B,0.6849,0.7812,0.6098,0.6849,0.7523,4
APP_GSK3B,0.7625,0.7674,0.8293,0.7968,0.7732,5
APP_GSK3B,0.6164,0.7241,0.5122,0.6,0.6481,6
APP_GSK3B,0.5833,0.6341,0.6341,0.6341,0.6155,7
APP_GSK3B,0.6296,0.701,0.6098,0.6522,0.6677,8
APP_GSK3B,0.5694,0.6667,0.4878,0.5634,0.6022,9
APP_GSK3B,0.6528,0.6739,0.7561,0.7126,0.6496,10
APP_IGF1R,0.6301,0.6633,0.7805,0.7009,0.7215,1
APP_IGF1R,0.5936,0.6094,0.8211,0.6914,0.6472,2
APP_IGF1R,0.5616,0.5865,0.8374,0.6687,0.5774,3
APP_IGF1R,0.6849,0.7812,0.6098,0.6849,0.7588,4
APP_IGF1R,0.758,0.7574,0.8374,0.7953,0.7846,5
APP_IGF1R,0.5753,0.7161,0.3984,0.4915,0.6518,6
APP_IGF1R,0.5833,0.6341,0.6341,0.6341,0.6045,7
APP_IGF1R,0.6343,0.7077,0.6098,0.6551,0.6671,8
APP_IGF1R,0.5694,0.6667,0.4878,0.5634,0.5994,9
APP_IGF1R,0.6528,0.6715,0.7642,0.7148,0.6492,10
APP_MAPT,0.6438,0.6836,0.7805,0.7099,0.7285,1
APP_MAPT,0.6392,0.6865,0.6585,0.6722,0.6432,2
APP_MAPT,0.5616,0.6364,0.5122,0.5676,0.572,3
APP_MAPT,0.6849,0.7812,0.6098,0.6849,0.7445,4
APP_MAPT,0.7625,0.7674,0.8293,0.7968,0.7789,5
APP_MAPT,0.6164,0.7241,0.5122,0.6,0.664,6
APP_MAPT,0.5694,0.7005,0.504,0.5485,0.6016,7
APP_MAPT,0.6482,0.7304,0.6098,0.6638,0.6726,8
APP_MAPT,0.5694,0.6667,0.4878,0.5634,0.6027,9
APP_MAPT,0.6528,0.6739,0.7561,0.7126,0.6499,10
