dataset,acc,pre,rec,f1,auc,fold
MAPT_CASP3,0.5833,0.6341,0.6341,0.6341,0.6026,7
MAPT_CASP3,0.6296,0.701,0.6098,0.6522,0.6605,8
MAPT_CASP3,0.5694,0.6667,0.4878,0.5634,0.6033,9
MAPT_CASP3,0.6528,0.6739,0.7561,0.7126,0.6665,10
MAPT_GSK3B,0.6621,0.713,0.6666,0.689,0.7051,1
MAPT_GSK3B,0.5753,0.5926,0.878,0.6969,0.6298,2
MAPT_GSK3B,0.5251,0.5966,0.6829,0.5098,0.5696,3
MAPT_GSK3B,0.6849,0.7812,0.6098,0.6849,0.7659,4
MAPT_GSK3B,0.7625,0.7674,0.8293,0.7968,0.7826,5
MAPT_GSK3B,0.6164,0.7241,0.5122,0.6,0.6601,6
MAPT_GSK3B,0.5833,0.6341,0.6341,0.6341,0.6098,7
MAPT_GSK3B,0.6482,0.7287,0.6098,0.6638,0.6598,8
MAPT_GSK3B,0.5694,0.6667,0.4878,0.5634,0.6117,9
MAPT_GSK3B,0.6528,0.6739,0.7561,0.7126,0.6639,10
NOS3_APOE,0.6712,0.7308,0.6585,0.6925,0.7101,1
NOS3_APOE,0.621,0.6513,0.7805,0.6952,0.6409,2
NOS3_APOE,0.589,0.6501,0.5772,0.6106,0.5658,3
NOS3_APOE,0.6849,0.7812,0.6098,0.6849,0.7606,4
NOS3_APOE,0.7671,0.7691,0.8374,0.8016,0.7882,5
NOS3_APOE,0.6164,0.7241,0.5122,0.6,0.6602,6
NOS3_APOE,0.5833,0.6341,0.6341,0.6341,0.5996,7
NOS3_APOE,0.6389,0.7143,0.6098,0.6579,0.661,8
NOS3_APOE,0.5694,0.6667,0.4878,0.5634,0.5922,9
NOS3_APOE,0.6528,0.6739,0.7561,0.7126,0.6566,10
NOS3_APP,0.6392,0.688,0.6585,0.6725,0.6999,1
NOS3_APP,0.5936,0.6084,0.878,0.705,0.6451,2
NOS3_APP,0.5616,0.6364,0.5122,0.5676,0.5655,3
NOS3_APP,0.6849,0.7812,0.6098,0.6849,0.7522,4
NOS3_APP,0.7717,0.779,0.8293,0.8032,0.7775,5
NOS3_APP,0.6164,0.7241,0.5122,0.6,0.6456,6
NOS3_APP,0.5833,0.6341,0.6341,0.6341,0.6137,7
NOS3_APP,0.6296,0.6828,0.748,0.6923,0.6631,8
NOS3_APP,0.5277,0.6667,0.3415,0.4059,0.5949,9
NOS3_APP,0.6528,0.6739,0.7561,0.7126,0.6633,10
NOS3_CALM1,0.6712,0.7308,0.6585,0.6925,0.7081,1
NOS3_CALM1,0.5844,0.6032,0.878,0.7008,0.6284,2
NOS3_CALM1,0.5844,0.6243,0.7236,0.6512,0.5679,3
NOS3_CALM1,0.6849,0.7812,0.6098,0.6849,0.7567,4
NOS3_CALM1,0.7625,0.7591,0.8456,0.8,0.7875,5
NOS3_CALM1,0.6164,0.7241,0.5122,0.6,0.639,6
NOS3_CALM1,0.5833,0.632,0.6422,0.637,0.6008,7
NOS3_CALM1,0.6343,0.7077,0.6098,0.6551,0.6617,8
NOS3_CALM1,0.5694,0.6667,0.4878,0.5634,0.596,9
NOS3_CALM1,0.6528,0.6739,0.7561,0.7126,0.6663,10
NOS3_PSEN1,0.6301,0.6633,0.7805,0.7009,0.7216,1
NOS3_PSEN1,0.5616,0.5622,0.9919,0.7176,0.6268,2
NOS3_PSEN1,0.557,0.61,0.6585,0.6126,0.563,3
NOS3_PSEN1,0.6849,0.7812,0.6098,0.6849,0.749,4
NOS3_PSEN1,0.7671,0.7774,0.8212,0.7983,0.7741,5
NOS3_PSEN1,0.6073,0.7085,0.5122,0.5944,0.6576,6
NOS3_PSEN1,0.5833,0.6341,0.6341,0.6341,0.5985,7
NOS3_PSEN1,0.6482,0.7343,0.6017,0.6608,0.6685,8
NOS3_PSEN1,0.5694,0.6667,0.4878,0.5634,0.6027,9
NOS3_PSEN1,0.6528,0.6691,0.7724,0.7169,0.657,10
NOS3_PSEN2,0.6758,0.7466,0.6422,0.69,0.7083,1
NOS3_PSEN2,0.6347,0.6807,0.6585,0.6693,0.6265,2
NOS3_PSEN2,0.5662,0.6372,0.5285,0.5775,0.5648,3
NOS3_PSEN2,0.6895,0.7896,0.6098,0.6881,0.7481,4
NOS3_PSEN2,0.7077,0.7143,0.8862,0.7794,0.7679,5
NOS3_PSEN2,0.6164,0.7241,0.5122,0.6,0.6454,6
NOS3_PSEN2,0.5833,0.6341,0.6341,0.6341,0.6069,7
NOS3_PSEN2,0.6482,0.7343,0.6017,0.6608,0.6783,8
NOS3_PSEN2,0.5694,0.6667,0.4878,0.5634,0.599,9
NOS3_PSEN2,0.6528,0.6739,0.7561,0.7126,0.6467,10
PSEN1_CASP3,0.6666,0.7286,0.6504,0.6868,0.6998,1
PSEN1_CASP3,0.6484,0.6949,0.6666,0.6805,0.6299,2
PSEN1_CASP3,0.5616,0.5865,0.8374,0.6687,0.5663,3
PSEN1_CASP3,0.6849,0.7812,0.6098,0.6849,0.7607,4
PSEN1_CASP3,0.7534,0.7595,0.8212,0.789,0.7827,5
PSEN1_CASP3,0.6073,0.708,0.5122,0.5943,0.6556,6
PSEN1_CASP3,0.5741,0.62,0.6585,0.6375,0.6027,7
PSEN1_CASP3,0.6482,0.7343,0.6017,0.6608,0.6592,8
PSEN1_CASP3,0.5694,0.6667,0.4878,0.5634,0.6055,9
PSEN1_CASP3,0.6528,0.6739,0.7561,0.7126,0.6497,10
PSEN1_GSK3B,0.6666,0.7286,0.6504,0.6868,0.704,1
PSEN1_GSK3B,0.5936,0.6234,0.7723,0.6781,0.6282,2
PSEN1_GSK3B,0.5616,0.6364,0.5122,0.5676,0.5592,3
PSEN1_GSK3B,0.6849,0.7812,0.6098,0.6849,0.748,4
PSEN1_GSK3B,0.7625,0.7757,0.813,0.7937,0.7799,5
PSEN1_GSK3B,0.6073,0.7085,0.5122,0.5944,0.6514,6
PSEN1_GSK3B,0.5833,0.6341,0.6341,0.6341,0.6113,7
PSEN1_GSK3B,0.6389,0.7143,0.6098,0.6579,0.6604,8
PSEN1_GSK3B,0.5694,0.6667,0.4878,0.5634,0.6005,9
PSEN1_GSK3B,0.6528,0.6739,0.7561,0.7126,0.6459,10
PSEN1_MAPT,0.6529,0.6788,0.7642,0.7072,0.7152,1
PSEN1_MAPT,0.589,0.6057,0.8862,0.7062,0.6348,2
PSEN1_MAPT,0.5479,0.6038,0.6585,0.6126,0.5727,3
PSEN1_MAPT,0.6849,0.7812,0.6098,0.6849,0.7573,4
PSEN1_MAPT,0.7671,0.7773,0.8212,0.7985,0.7808,5
PSEN1_MAPT,0.6164,0.7241,0.5122,0.6,0.6602,6
PSEN1_MAPT,0.5648,0.5782,0.8943,0.6959,0.6139,7
PSEN1_MAPT,0.6482,0.7343,0.6017,0.6608,0.6646,8
PSEN1_MAPT,0.5,0.6945,0.2276,0.2997,0.6138,9
PSEN1_MAPT,0.6528,0.6739,0.7561,0.7126,0.6473,10
PSEN1_PSEN2,0.6484,0.6872,0.7642,0.7071,0.7072,1
PSEN1_PSEN2,0.6484,0.6949,0.6666,0.6805,0.6354,2
PSEN1_PSEN2,0.557,0.5845,0.8293,0.665,0.5772,3
PSEN1_PSEN2,0.6895,0.7896,0.6098,0.6881,0.7586,4
PSEN1_PSEN2,0.7032,0.7044,0.8943,0.7778,0.7736,5
PSEN1_PSEN2,0.6073,0.708,0.5122,0.5943,0.6453,6
PSEN1_PSEN2,0.5833,0.6341,0.6341,0.6341,0.6158,7
PSEN1_PSEN2,0.625,0.686,0.7317,0.6834,0.6698,8
PSEN1_PSEN2,0.5787,0.6667,0.5203,0.5842,0.6054,9
PSEN1_PSEN2,0.625,0.6391,0.8374,0.717,0.6516,10
PSEN2_CASP3,0.6255,0.6609,0.7723,0.6954,0.716,1
PSEN2_CASP3,0.6392,0.6865,0.6585,0.6722,0.6485,2
PSEN2_CASP3,0.5525,0.6071,0.6667,0.6186,0.548,3
PSEN2_CASP3,0.6849,0.7812,0.6098,0.6849,0.7606,4
PSEN2_CASP3,0.7671,0.7609,0.8537,0.8046,0.7872,5
PSEN2_CASP3,0.5981,0.6699,0.6748,0.6398,0.6559,6
PSEN2_CASP3,0.5509,0.7561,0.4553,0.482,0.6124,7
PSEN2_CASP3,0.6389,0.7143,0.6098,0.6579,0.6759,8
PSEN2_CASP3,0.5694,0.6667,0.4878,0.5634,0.6118,9
PSEN2_CASP3,0.6528,0.6739,0.7561,0.7126,0.6622,10
TF_IGF2,0.6347,0.6789,0.7642,0.6987,0.6955,1
TF_IGF2,0.5981,0.6116,0.878,0.7088,0.6509,2
TF_IGF2,0.5707,0.6185,0.6992,0.6411,0.5852,3
TF_IGF2,0.6986,0.8065,0.6098,0.6944,0.752,4
TF_IGF2,0.758,0.7656,0.8212,0.7922,0.7762,5
TF_IGF2,0.5981,0.6699,0.6748,0.6398,0.678,6
TF_IGF2,0.5833,0.6341,0.6341,0.6341,0.6028,7
TF_IGF2,0.6435,0.7262,0.6017,0.6578,0.6526,8
TF_IGF2,0.5694,0.6667,0.4878,0.5634,0.5898,9
TF_IGF2,0.6528,0.6739,0.7561,0.7126,0.6604,10
WWOX_ENO1,0.6849,0.7647,0.6341,0.6933,0.6959,1
WWOX_ENO1,0.5799,0.7949,0.4471,0.4659,0.6303,2
WWOX_ENO1,0.5479,0.6038,0.6585,0.6126,0.5569,3
WWOX_ENO1,0.6986,0.8065,0.6098,0.6944,0.7468,4
WWOX_ENO1,0.7671,0.7773,0.8212,0.7985,0.7791,5
WWOX_ENO1,0.6164,0.7241,0.5122,0.6,0.6635,6
WWOX_ENO1,0.5833,0.6341,0.6341,0.6341,0.6037,7
WWOX_ENO1,0.6157,0.666,0.7399,0.6805,0.6777,8
WWOX_ENO1,0.5694,0.6667,0.4878,0.5634,0.5989,9
WWOX_ENO1,0.6528,0.6739,0.7561,0.7126,0.6668,10
