fold,target,dataset,model,acc,pre,rec,f1,auc
2,PET,AD_PPI_rewired32_missense,GNN GraphGym,0.5525,0.5576,0.9837,0.7118,0.6364
2,PET,AD_PPI_rewired33_missense,GNN GraphGym,0.5981,0.6303,0.7642,0.6779,0.6269
2,PET,AD_PPI_rewired34_missense,GNN GraphGym,0.6438,0.6923,0.6585,0.675,0.6323
2,PET,AD_PPI_rewired35_missense,GNN GraphGym,0.621,0.6489,0.7723,0.6929,0.6516
2,PET,AD_PPI_rewired36_missense,GNN GraphGym,0.6484,0.6949,0.6666,0.6805,0.6568
2,PET,AD_PPI_rewired37_missense,GNN GraphGym,0.6301,0.6698,0.6829,0.6752,0.6508
2,PET,AD_PPI_rewired38_missense,GNN GraphGym,0.6484,0.6949,0.6666,0.6805,0.6499
2,PET,AD_PPI_rewired39_missense,GNN GraphGym,0.5799,0.6012,0.8699,0.697,0.6441
2,PET,AD_PPI_rewired40_missense,GNN GraphGym,0.621,0.6475,0.7642,0.6919,0.6525
2,PET,AD_PPI_rewired41_missense,GNN GraphGym,0.6073,0.6322,0.7886,0.6911,0.6344
2,PET,AD_PPI_rewired42_missense,GNN GraphGym,0.6529,0.6974,0.6748,0.6859,0.6716
2,PET,AD_PPI_rewired43_missense,GNN GraphGym,0.6118,0.6436,0.7723,0.6886,0.6451
2,PET,AD_PPI_rewired44_missense,GNN GraphGym,0.6438,0.6923,0.6585,0.675,0.6616
2,PET,AD_PPI_rewired45_missense,GNN GraphGym,0.6438,0.6923,0.6585,0.675,0.6615
2,PET,AD_PPI_rewired46_missense,GNN GraphGym,0.5799,0.5999,0.8455,0.6909,0.6644
2,PET,AD_PPI_rewired47_missense,GNN GraphGym,0.6438,0.6923,0.6585,0.675,0.6431
2,PET,AD_PPI_rewired48_missense,GNN GraphGym,0.6484,0.6949,0.6666,0.6805,0.6575
2,PET,AD_PPI_rewired49_missense,GNN GraphGym,0.6438,0.6892,0.6666,0.6776,0.6503
2,PET,AD_PPI_rewired50_missense,GNN GraphGym,0.6118,0.6485,0.7479,0.6852,0.648
2,PET,AD_PPI_rewired51_missense,GNN GraphGym,0.6301,0.6758,0.6585,0.6669,0.6498
2,PET,AD_PPI_rewired52_missense,GNN GraphGym,0.6484,0.6949,0.6666,0.6805,0.6632
2,PET,AD_PPI_rewired53_missense,GNN GraphGym,0.5799,0.5787,0.935,0.7138,0.6697
2,PET,AD_PPI_rewired54_missense,GNN GraphGym,0.6438,0.6923,0.6585,0.675,0.6517
2,PET,AD_PPI_rewired55_missense,GNN GraphGym,0.6027,0.6252,0.7805,0.6861,0.641
2,PET,AD_PPI_rewired56_missense,GNN GraphGym,0.5525,0.6253,0.7561,0.6214,0.6578
2,PET,AD_PPI_rewired57_missense,GNN GraphGym,0.6118,0.6459,0.7398,0.6812,0.6505
2,PET,AD_PPI_rewired58_missense,GNN GraphGym,0.6392,0.6896,0.6504,0.6694,0.6664
2,PET,AD_PPI_rewired59_missense,GNN GraphGym,0.6392,0.6699,0.7236,0.6905,0.6453
2,PET,AD_PPI_rewired60_missense,GNN GraphGym,0.6438,0.6923,0.6585,0.675,0.6465
2,PET,AD_PPI_rewired61_missense,GNN GraphGym,0.6438,0.6923,0.6585,0.675,0.6518
2,PET,AD_PPI_rewired62_missense,GNN GraphGym,0.6027,0.6283,0.748,0.6787,0.6288
2,PET,AD_PPI_rewired63_missense,GNN GraphGym,0.6438,0.6923,0.6585,0.675,0.6678
2,PET,AD_PPI_rewired64_missense,GNN GraphGym,0.5981,0.6248,0.7723,0.6811,0.6698
2,PET,AD_PPI_rewired65_missense,GNN GraphGym,0.6438,0.6804,0.691,0.6853,0.6645
2,PET,AD_PPI_rewired66_missense,GNN GraphGym,0.6438,0.6923,0.6585,0.675,0.6421
2,PET,AD_PPI_rewired67_missense,GNN GraphGym,0.6438,0.6923,0.6585,0.675,0.6358
2,PET,AD_PPI_rewired68_missense,GNN GraphGym,0.5844,0.6032,0.878,0.7008,0.6536
2,PET,AD_PPI_rewired69_missense,GNN GraphGym,0.5479,0.5555,0.9756,0.7079,0.6677
2,PET,AD_PPI_rewired70_missense,GNN GraphGym,0.6301,0.675,0.6585,0.6667,0.6373
2,PET,AD_PPI_rewired71_missense,GNN GraphGym,0.6301,0.6758,0.6585,0.6669,0.6312
2,PET,AD_PPI_rewired72_missense,GNN GraphGym,0.6392,0.6896,0.6504,0.6694,0.6548
2,PET,AD_PPI_rewired73_missense,GNN GraphGym,0.6118,0.6467,0.7642,0.686,0.6413
2,PET,AD_PPI_rewired74_missense,GNN GraphGym,0.621,0.6621,0.6666,0.6641,0.6442
2,PET,AD_PPI_rewired75_missense,GNN GraphGym,0.6164,0.63,0.8211,0.7056,0.6679
2,PET,AD_PPI_rewired76_missense,GNN GraphGym,0.621,0.6535,0.7479,0.6868,0.647
2,PET,AD_PPI_rewired77_missense,GNN GraphGym,0.621,0.664,0.6585,0.6612,0.6476
2,PET,AD_PPI_rewired78_missense,GNN GraphGym,0.6438,0.686,0.6748,0.6803,0.6773
2,PET,AD_PPI_rewired79_missense,GNN GraphGym,0.6529,0.6941,0.6829,0.6881,0.6785
2,PET,AD_PPI_rewired80_missense,GNN GraphGym,0.6438,0.6923,0.6585,0.675,0.6625
2,PET,AD_PPI_rewired81_missense,GNN GraphGym,0.621,0.6519,0.7805,0.6969,0.6376
2,PET,AD_PPI_rewired82_missense,GNN GraphGym,0.6301,0.6585,0.7561,0.693,0.6598
2,PET,AD_PPI_rewired83_missense,GNN GraphGym,0.6484,0.6949,0.6666,0.6805,0.6698
2,PET,AD_PPI_rewired84_missense,GNN GraphGym,0.5844,0.5773,0.9756,0.7251,0.6477
2,PET,AD_PPI_rewired85_missense,GNN GraphGym,0.6164,0.6594,0.6585,0.6587,0.6353
2,PET,AD_PPI_rewired86_missense,GNN GraphGym,0.6118,0.6467,0.7642,0.686,0.6557
2,PET,AD_PPI_rewired87_missense,GNN GraphGym,0.6484,0.6949,0.6666,0.6805,0.6526
2,PET,AD_PPI_rewired88_missense,GNN GraphGym,0.589,0.6075,0.8536,0.6976,0.6593
2,PET,AD_PPI_rewired89_missense,GNN GraphGym,0.6027,0.6297,0.7805,0.6858,0.6549
2,PET,AD_PPI_rewired90_missense,GNN GraphGym,0.6438,0.6923,0.6585,0.675,0.6659
2,PET,AD_PPI_rewired91_missense,GNN GraphGym,0.6438,0.6923,0.6585,0.675,0.6584
2,PET,AD_PPI_rewired92_missense,GNN GraphGym,0.6438,0.6923,0.6585,0.675,0.6498
2,PET,AD_PPI_rewired93_missense,GNN GraphGym,0.6438,0.6923,0.6585,0.675,0.6386
2,PET,AD_PPI_rewired94_missense,GNN GraphGym,0.6392,0.6865,0.6585,0.6722,0.6408
2,PET,AD_PPI_rewired95_missense,GNN GraphGym,0.6164,0.6487,0.7723,0.6898,0.658
2,PET,AD_PPI_rewired96_missense,GNN GraphGym,0.5844,0.6032,0.878,0.7008,0.665
2,PET,AD_PPI_rewired97_missense,GNN GraphGym,0.589,0.6064,0.8699,0.7012,0.6554
2,PET,AD_PPI_rewired98_missense,GNN GraphGym,0.6438,0.6892,0.6666,0.6776,0.6564
2,PET,AD_PPI_rewired99_missense,GNN GraphGym,0.6301,0.67,0.6748,0.672,0.6453
2,PET,AD_PPI_rewired100_missense,GNN GraphGym,0.5844,0.6048,0.8618,0.6989,0.6346
3,PET,AD_PPI_rewired1_missense,GNN GraphGym,0.5662,0.6193,0.7886,0.6511,0.5984
3,PET,AD_PPI_rewired2_missense,GNN GraphGym,0.5753,0.5963,0.8211,0.672,0.5851
3,PET,AD_PPI_rewired3_missense,GNN GraphGym,0.5844,0.6025,0.878,0.6989,0.5944
3,PET,AD_PPI_rewired4_missense,GNN GraphGym,0.557,0.585,0.8211,0.6632,0.5916
3,PET,AD_PPI_rewired5_missense,GNN GraphGym,0.5616,0.6364,0.5122,0.5676,0.5728
3,PET,AD_PPI_rewired6_missense,GNN GraphGym,0.557,0.61,0.6585,0.6126,0.5443
3,PET,AD_PPI_rewired7_missense,GNN GraphGym,0.557,0.585,0.8211,0.6632,0.5933
3,PET,AD_PPI_rewired8_missense,GNN GraphGym,0.5205,0.566,0.5122,0.4445,0.5899
3,PET,AD_PPI_rewired9_missense,GNN GraphGym,0.557,0.585,0.8211,0.6632,0.6014
3,PET,AD_PPI_rewired10_missense,GNN GraphGym,0.5525,0.5851,0.7805,0.6512,0.5584
3,PET,AD_PPI_rewired11_missense,GNN GraphGym,0.5616,0.5865,0.8374,0.6687,0.5794
3,PET,AD_PPI_rewired12_missense,GNN GraphGym,0.5753,0.5963,0.8211,0.672,0.5969
3,PET,AD_PPI_rewired13_missense,GNN GraphGym,0.5616,0.5865,0.8374,0.6687,0.5716
3,PET,AD_PPI_rewired14_missense,GNN GraphGym,0.5707,0.5951,0.8049,0.6661,0.5975
3,PET,AD_PPI_rewired15_missense,GNN GraphGym,0.5662,0.6178,0.6341,0.6114,0.5744
3,PET,AD_PPI_rewired16_missense,GNN GraphGym,0.5753,0.5963,0.8211,0.672,0.5801
3,PET,AD_PPI_rewired17_missense,GNN GraphGym,0.5799,0.6221,0.6748,0.6313,0.5987
3,PET,AD_PPI_rewired18_missense,GNN GraphGym,0.5799,0.6232,0.6748,0.6333,0.5709
3,PET,AD_PPI_rewired19_missense,GNN GraphGym,0.5616,0.5865,0.8374,0.6687,0.5625
3,PET,AD_PPI_rewired20_missense,GNN GraphGym,0.5662,0.5938,0.7886,0.66,0.5723
3,PET,AD_PPI_rewired21_missense,GNN GraphGym,0.5662,0.6123,0.6911,0.6281,0.6061
3,PET,AD_PPI_rewired22_missense,GNN GraphGym,0.5616,0.6364,0.5122,0.5676,0.5727
3,PET,AD_PPI_rewired23_missense,GNN GraphGym,0.5616,0.6364,0.5122,0.5676,0.5707
3,PET,AD_PPI_rewired24_missense,GNN GraphGym,0.5616,0.6364,0.5122,0.5676,0.5822
3,PET,AD_PPI_rewired25_missense,GNN GraphGym,0.5753,0.6209,0.6585,0.6255,0.5615
3,PET,AD_PPI_rewired26_missense,GNN GraphGym,0.557,0.61,0.6585,0.6126,0.5486
3,PET,AD_PPI_rewired27_missense,GNN GraphGym,0.557,0.585,0.8211,0.6632,0.5617
3,PET,AD_PPI_rewired28_missense,GNN GraphGym,0.5616,0.6364,0.5122,0.5676,0.5785
3,PET,AD_PPI_rewired29_missense,GNN GraphGym,0.557,0.585,0.8211,0.6632,0.5916
3,PET,AD_PPI_rewired30_missense,GNN GraphGym,0.5616,0.6364,0.5122,0.5676,0.6004
3,PET,AD_PPI_rewired31_missense,GNN GraphGym,0.5616,0.6364,0.5122,0.5676,0.5988
3,PET,AD_PPI_rewired32_missense,GNN GraphGym,0.5662,0.64,0.5203,0.574,0.587
3,PET,AD_PPI_rewired33_missense,GNN GraphGym,0.5707,0.5973,0.7724,0.6587,0.5898
3,PET,AD_PPI_rewired34_missense,GNN GraphGym,0.5616,0.6364,0.5122,0.5676,0.5623
3,PET,AD_PPI_rewired35_missense,GNN GraphGym,0.5616,0.6364,0.5122,0.5676,0.5535
3,PET,AD_PPI_rewired36_missense,GNN GraphGym,0.557,0.5875,0.7886,0.6555,0.5887
3,PET,AD_PPI_rewired37_missense,GNN GraphGym,0.5616,0.5865,0.8374,0.6687,0.5713
3,PET,AD_PPI_rewired38_missense,GNN GraphGym,0.5707,0.6381,0.5447,0.5875,0.5781
3,PET,AD_PPI_rewired39_missense,GNN GraphGym,0.5616,0.5865,0.8374,0.6687,0.56
3,PET,AD_PPI_rewired40_missense,GNN GraphGym,0.5616,0.6108,0.6748,0.6226,0.5912
3,PET,AD_PPI_rewired41_missense,GNN GraphGym,0.5342,0.5497,0.935,0.6921,0.569
3,PET,AD_PPI_rewired42_missense,GNN GraphGym,0.5707,0.5948,0.8049,0.6664,0.5726
3,PET,AD_PPI_rewired43_missense,GNN GraphGym,0.5616,0.6364,0.5122,0.5676,0.5909
3,PET,AD_PPI_rewired44_missense,GNN GraphGym,0.557,0.585,0.8211,0.6632,0.5732
3,PET,AD_PPI_rewired45_missense,GNN GraphGym,0.5616,0.5865,0.8374,0.6687,0.5645
3,PET,AD_PPI_rewired46_missense,GNN GraphGym,0.5616,0.6364,0.5122,0.5676,0.5956
3,PET,AD_PPI_rewired47_missense,GNN GraphGym,0.5616,0.6364,0.5122,0.5676,0.5554
3,PET,AD_PPI_rewired48_missense,GNN GraphGym,0.5662,0.6372,0.5285,0.5775,0.5593
3,PET,AD_PPI_rewired49_missense,GNN GraphGym,0.5662,0.64,0.5203,0.574,0.5896
3,PET,AD_PPI_rewired50_missense,GNN GraphGym,0.5616,0.6364,0.5122,0.5676,0.6174
3,PET,AD_PPI_rewired51_missense,GNN GraphGym,0.5662,0.6372,0.5285,0.5775,0.561
3,PET,AD_PPI_rewired52_missense,GNN GraphGym,0.5753,0.5963,0.8211,0.672,0.5888
3,PET,AD_PPI_rewired53_missense,GNN GraphGym,0.5662,0.5938,0.7886,0.66,0.5903
3,PET,AD_PPI_rewired54_missense,GNN GraphGym,0.5662,0.6372,0.5285,0.5775,0.6141
3,PET,AD_PPI_rewired55_missense,GNN GraphGym,0.5616,0.6364,0.5122,0.5676,0.606
3,PET,AD_PPI_rewired56_missense,GNN GraphGym,0.5616,0.6364,0.5122,0.5676,0.5869
3,PET,AD_PPI_rewired57_missense,GNN GraphGym,0.5616,0.6364,0.5122,0.5676,0.5726
3,PET,AD_PPI_rewired58_missense,GNN GraphGym,0.5616,0.5865,0.8374,0.6687,0.5566
3,PET,AD_PPI_rewired59_missense,GNN GraphGym,0.5662,0.6123,0.6911,0.6281,0.585
3,PET,AD_PPI_rewired60_missense,GNN GraphGym,0.5616,0.6108,0.6748,0.6226,0.6129
