fold,target,dataset,model,acc,pre,rec,f1,auc
1,PETandDX,AD_PPI_rewired39_missense,GNN GraphGym,0.6875,0.7368,0.7368,0.7368,0.726
1,PETandDX,AD_PPI_rewired40_missense,GNN GraphGym,0.6875,0.7368,0.7368,0.7368,0.7254
1,PETandDX,AD_PPI_rewired41_missense,GNN GraphGym,0.6146,0.688,0.7018,0.6683,0.6741
1,PETandDX,AD_PPI_rewired42_missense,GNN GraphGym,0.6146,0.6836,0.7193,0.6766,0.6842
1,PETandDX,AD_PPI_rewired43_missense,GNN GraphGym,0.6875,0.7368,0.7368,0.7368,0.6977
1,PETandDX,AD_PPI_rewired44_missense,GNN GraphGym,0.6875,0.7554,0.7017,0.7271,0.7139
1,PETandDX,AD_PPI_rewired45_missense,GNN GraphGym,0.7188,0.7593,0.7719,0.7651,0.753
1,PETandDX,AD_PPI_rewired46_missense,GNN GraphGym,0.6875,0.7461,0.7193,0.7319,0.7119
1,PETandDX,AD_PPI_rewired47_missense,GNN GraphGym,0.5313,0.3979,0.6491,0.4933,0.6829
1,PETandDX,AD_PPI_rewired48_missense,GNN GraphGym,0.6875,0.7461,0.7193,0.7319,0.7206
1,PETandDX,AD_PPI_rewired49_missense,GNN GraphGym,0.6979,0.7337,0.7719,0.752,0.7274
1,PETandDX,AD_PPI_rewired50_missense,GNN GraphGym,0.6666,0.7123,0.7368,0.7242,0.697
1,PETandDX,AD_PPI_rewired51_missense,GNN GraphGym,0.6875,0.7461,0.7193,0.7319,0.724
1,PETandDX,AD_PPI_rewired52_missense,GNN GraphGym,0.5833,0.4956,0.4561,0.4742,0.6714
1,PETandDX,AD_PPI_rewired53_missense,GNN GraphGym,0.6875,0.7461,0.7193,0.7319,0.7267
1,PETandDX,AD_PPI_rewired54_missense,GNN GraphGym,0.6458,0.6956,0.7719,0.7191,0.6991
1,PETandDX,AD_PPI_rewired55_missense,GNN GraphGym,0.6875,0.7368,0.7368,0.7368,0.7409
1,PETandDX,AD_PPI_rewired56_missense,GNN GraphGym,0.6875,0.7368,0.7368,0.7368,0.728
